gene,source,drug
PTGER4,GuideToPharmacology,CICAPROST
HRH2,TEND,NIZATIDINE
HSPB1,DTC,QUERCETIN
MEN1,DTC,FURAFYLLINE
,TTD,ESTRAMUSTINE
PIM1,TTD,
XDH,TTD,
SSTR2,GuideToPharmacology,
ADORA2A,TTD,
TG,NCI,
SCN5A,GuideToPharmacology,ELECLAZINE
ADRB3,GuideToPharmacology,
KDM4A,DTC,PYRITHIONE
GMNN,DTC,FALNIDAMOL
FSHR,GuideToPharmacology,
MAPK8,ChemblInteractions,TANZISERTIB
ATAD5,DTC,CHEMBL1452227
MAPK1,DTC,CANTHARIDIN
CYP2D6,PharmGKB,
ACHE,TTD,
CYP19A1,TTD,
TYMS,PharmGKB,IRINOTECAN
ESR1,ChemblInteractions,IDOXIFENE
CYP2D6,DTC,AGROCLAVINE
CYP2C9,DTC,OMEPRAZOLE
PTGDR,GuideToPharmacology,
SLC6A12,GuideToPharmacology,
CYP2D6,FDA,PAROXETINE
HDAC2,GuideToPharmacology,APICIDIN
GABRA1,TTD,MEPROBAMATE
PTGDR2,GuideToPharmacology,
SLC6A2,TdgClinicalTrial,
RXRA,DTC,DOCONEXENT
,TTD,
CTNNB1,JAX-CKB,
CYP3A4,DTC,GLIQUIDONE
EGFR,GuideToPharmacology,
IL2,TTD,
CYP1A2,DTC,APOMORPHINE
YES1,DTC,CYC-116
BRAF,TTD,
ADORA1,GuideToPharmacology,CAFFEINE
UGT1A3,PharmGKB,ATAZANAVIR
TYR,TTD,
IL1R1,TTD,ANAKINRA
ERBB4,CIViC,LAPATINIB
TUBB,DTC,NOCODAZOLE
AR,DTC,LOPERAMIDE
CYSLTR1,TTD,IRALUKAST
BRD4,GuideToPharmacology,
HDAC4,TdgClinicalTrial,PANOBINOSTAT
SCN5A,TEND,ETHOTOIN
KCNT2,GuideToPharmacology,
KCNC4,ChemblInteractions,DALFAMPRIDINE
GMNN,DTC,MECLIZINE DIHCL
NPSR1,DTC,CHEMBL576409
AKT1,DTC,GAMBOGIC AMIDE
FGF2,NCI,TRIAMCINOLONE
GABRA5,TEND,PHENOBARBITAL
CCKBR,PharmGKB,CLOZAPINE
,TTD,
BMX,DTC,CHEMBL285063
PTGFR,GuideToPharmacology,SULPROSTONE
FLT1,MyCancerGenomeClinicalTrial,SORAFENIB
PRKDC,GuideToPharmacology,
NPR2,GuideToPharmacology,
CDK1,ChemblInteractions,AG-24322
ADORA2A,GuideToPharmacology,
STAT3,TTD,
ADRA2A,ChemblInteractions,BRIMONIDINE TARTRATE
GRIA3,ChemblInteractions,MK-8777
AGTR1,TTD,LOSARTAN
HSPB1,NCI,
CYP3A4,PharmGKB,FLUTAMIDE
,TTD,
SLC5A4,TTD,
HSD17B10,DTC,12A-HYDROXY-5-DEOXYDEHYDROMUNDUSERONE
CYP17A1,PharmGKB,
PIM3,GuideToPharmacology,
PIM1,DTC,CHEMBL500812
GRIN2B,GuideToPharmacology,
MYCN,PharmGKB,DINUTUXIMAB
GNAS,DTC,TETRAETHYLAMMONIUM CHLORIDE
RORA,GuideToPharmacology,
CYP3A4,DTC,HARMAN
,TTD,
FLT1,ChemblInteractions,REGORAFENIB
GABRR1,DTC,ISONIPECOTIC ACID
FLT1,DTC,SUNITINIB
DDIT3,NCI,
PDCD1,TTD,
TYR,TTD,
CAMK2D,DTC,GW441756X
P2RX7,TTD,
CYP3A4,DTC,GUAIFENESIN
MTOR,DTC,YUANHUADINE
ITGAL,NCI,BUSULFAN
HDAC10,DTC,BUTYRYLHYDROXAMIC ACID
CACNA1B,TEND,GABAPENTIN
CYP1A2,DTC,SKIMMIANINE
ATXN2,DTC,SANGUINARIUM
DRD2,TdgClinicalTrial,SULPIRIDE
,TTD,CARFENTANIL
CCR9,GuideToPharmacology,
TSHR,DTC,DEXPROPRANOLOL
CYP2D6,DTC,GRAMINE
JAK2,JAX-CKB,AZD-1480
SCN9A,TTD,
UBE2N,DTC,AMINODIMETHOXYQUINAZOLINYLPIPERAZINE
SSTR2,ChemblInteractions,PASIREOTIDE PAMOATE
LCK,GuideToPharmacology,SARACATINIB
KIT,MyCancerGenome,MIDOSTAURIN
S1PR1,TTD,SIPONIMOD
CAPN2,TTD,
ATXN2,DTC,CHEMBL1256660
HTR1E,GuideToPharmacology,CLOZAPINE
GABRA3,TEND,CLOTIAZEPAM
FPR2,GuideToPharmacology,
MUC16,ChemblInteractions,ABAGOVOMAB
FLT4,TdgClinicalTrial,PAZOPANIB
PPARG,DTC,FLUDIOXONIL
PIK3CD,GuideToPharmacology,
TYK2,TTD,
CASP6,DTC,MYRICETIN
KDM4A,DTC,DIMETHYLPHENYLPIPERAZINIUM IODIDE
GNAS,DTC,CHEMBL530291
RTN4,ChemblInteractions,OZANEZUMAB
TOP1,TTD,
CALCRL,TdgClinicalTrial,CALCITONIN GENE-RELATED PEPTIDE
GABRG3,TdgClinicalTrial,CHLORDIAZEPOXIDE
RET,GuideToPharmacology,GILTERITINIB
ABHD6,TTD,
HLA-DRB1,PharmGKB,FLUPIRTINE
SERPINE1,NCI,
ACE,ChemblInteractions,FOSINOPRIL SODIUM
GABRA1,GuideToPharmacology,
ATIC,NCI,METHOTREXATE
HEBP1,TTD,
ATP1A1,TdgClinicalTrial,ACETYLDIGITOXIN
DES,NCI,ALTEPLASE
FEN1,DTC,METHACYCLINE HYDROCHLORIDE
RXRA,GuideToPharmacology,
ARID1A,CIViC,
PIK3CG,GuideToPharmacology,
GABRA1,TdgClinicalTrial,CLOBAZAM
HDAC1,GuideToPharmacology,NANATINOSTAT
GJA3,GuideToPharmacology,
CACNA1G,TTD,
DHFR,TdgClinicalTrial,METHOTREXATE
WRN,DTC,CHEMBL1287980
,TTD,
KDM4E,TTD,
RET,TTD,PRALSETINIB
AFP,NCI,DOXORUBICIN
ATAD5,DTC,DOXAZOSIN
KCNA10,GuideToPharmacology,
CD19,TTD,
SIRT1,GuideToPharmacology,SRT-2104
FEN1,DTC,CHEMBL1701915
PIM3,DTC,LY-2090314
HTT,TTD,
GSK3B,TTD,TIDEGLUSIB
APOBEC3G,DTC,CHEMBL410484
ABCB1,NCI,DEXTROMETHORPHAN
GABRA3,TdgClinicalTrial,CINOLAZEPAM
FEN1,DTC,CHEMBL486706
SCN5A,ChemblInteractions,OXCARBAZEPINE
CATSPER1,GuideToPharmacology,ALPROSTADIL
HDAC1,TTD,
,TTD,
SMO,TTD,
CHRNA3,ChemblInteractions,PENTOLINIUM TARTRATE
GLS,DTC,THUNBERGINOL B
HTR2A,GuideToPharmacology,
HSD17B10,DTC,CI-218872
GALK1,DTC,CHEMBL601757
ADRA1A,TEND,PERICIAZINE
HTT,DTC,CHEMBL577419
NFE2L2,DTC,CHEMBL1531222
CYP3A4,DTC,NITAZOXANIDE
EZH2,TTD,
NFE2L2,DTC,CHEMBL148831
PTGDS,NCI,
NR1H4,TTD,
IL5,NCI,
HDAC2,CIViC,PAZOPANIB
BAZ2B,DTC,CHEMBL600360
SYK,TTD,PRT-2607
GABRB1,ChemblInteractions,QUAZEPAM
CYP19A1,TEND,ANASTROZOLE
PPARD,ChemblInteractions,AVE0847
CYB5R3,PharmGKB,
GABRR3,GuideToPharmacology,MUSCIMOL
GALR3,GuideToPharmacology,
BTK,TTD,
GRM5,GuideToPharmacology,
PAX8,DTC,DAUNORUBICIN HYDROCHLORIDE
HTR4,GuideToPharmacology,PF-04995274
G6PD,PharmGKB,
ADRB2,TEND,SALMETEROL
GLA,TTD,DUVOGLUSTAT
ALDH1A1,DTC,GOSSYPETIN
MAPT,DTC,CHEMBL1367933
ACTC1,NCI,DEXAMETHASONE
VKORC1,TTD,TECARFARIN
,TTD,
HTR1A,ChemblInteractions,ARIPIPRAZOLE
MAPT,DTC,CHEMBL122701
STAT2,NCI,
CYP2D6,DTC,SELEGILINE
MAP4K2,GuideToPharmacology,
MC5R,TTD,
AR,DTC,FENPYROXYMATE
FEN1,DTC,CETYLPYRIDINIUM BROMIDE
NR3C1,ChemblInteractions,FLURANDRENOLIDE
LDLR,TTD,
TRPA1,GuideToPharmacology,
HRH1,TEND,DESIPRAMINE
TP53,PharmGKB,CYCLOPHOSPHAMIDE
ADORA3,GuideToPharmacology,
PTGER2,GuideToPharmacology,
TACR2,GuideToPharmacology,
FGR,ChemblInteractions,TG100-801
ARRB2,PharmGKB,TRAMADOL
NR1H4,DTC,CHEMBL269105
NFE2L2,DTC,PHENYLALANINE
CSF1R,TTD,
GPR55,GuideToPharmacology,
PIK3R1,ChemblInteractions,VS-5584
ARAF,GuideToPharmacology,LY-3009120
CYP3A4,DTC,PODOFILOX
PIK3CA,JAX-CKB,NAVITOCLAX
MC4R,TTD,
GJB2,GuideToPharmacology,
CYP1A2,DTC,CARBIMAZOLE
CYP2C19,DTC,PHENTOLAMINE
CDK2,DTC,ALSTERPAULLONE
CHRM3,GuideToPharmacology,VINCAMINE
HIF1A,TdgClinicalTrial,PX-478
MCL1,DTC,APOMORPHINE HYDROCHLORIDE HEMIHYDRATE
TAT,NCI,TETRACYCLINE
CYP2C19,DTC,CHEMBL471225
GABRG2,ChemblInteractions,
DTNBP1,PharmGKB,METHAMPHETAMINE
GABRB1,ChemblInteractions,CHLORDIAZEPOXIDE HYDROCHLORIDE
EHMT2,DTC,CHEMBL1486366
NFE2L2,DTC,CHEMBL124006
GPR55,DTC,PHENOLPHTHALEIN
PPARD,NCI,ALCOHOL
KCNH2,DTC,CHEMBL532141
SCN3A,ChemblInteractions,ZONISAMIDE
SSTR3,GuideToPharmacology,
FLT4,ChemblInteractions,XL-820
CALCRL,ChemblInteractions,TELCAGEPANT
RPS6KA3,NCI,REGRAMOSTIM
AURKA,GuideToPharmacology,DUBERMATINIB
MMP2,TTD,
TLR9,TTD,
TUBA1A,ChemblInteractions,VINBLASTINE SULFATE
TDO2,NCI,DEXAMETHASONE
TP53,DTC,CHEMBL1326499
ESR1,DTC,AFIMOXIFENE
HPGD,DTC,CHEMBL239439
,TTD,SJG-136
AR,DTC,MEDROXYPROGESTERONE ACETATE
KDM4A,DTC,CHEMBL179611
ALDH1A1,DTC,Z-PRO-PROLINAL
GRPR,GuideToPharmacology,
LEP,NCI,MIRTAZAPINE
MAP2K1,DoCM,VEMURAFENIB
MGAM,TTD,ALGLUCOSIDASE ALFA
MIF,TdgClinicalTrial,
PPARG,TdgClinicalTrial,
ERBB2,ChemblInteractions,BMS-690514
PIK3R1,ChemblInteractions,GEDATOLISIB
ALOX15B,DTC,DIENESTROL
FPR1,GuideToPharmacology,
PRMT3,GuideToPharmacology,
CACNA1S,GuideToPharmacology,
DRD2,TTD,
NOX4,GuideToPharmacology,
SLC28A2,DTC,ADENOSINE
KCNH2,DTC,CHEMBL591641
RAD52,DTC,JNJ-5207852
PTH,NCI,ATENOLOL
GMNN,DTC,NIFURALDEZONE
GABRE,ChemblInteractions,ETHCHLORVYNOL
CACNG2,ChemblInteractions,PREGABALIN
MAPK8,DTC,CENISERTIB
HSD17B10,DTC,DIFLUNISAL
ADRA1A,TdgClinicalTrial,TERAZOSIN
CYP2C9,DTC,BUTYLATED HYDROXYTOLUENE
FGB,ChemblInteractions,"FIBRINOLYSIN, HUMAN"
TGM2,TTD,
KDM4E,DTC,LUTEOLIN
PTGS1,TdgClinicalTrial,
MYO9B,NCI,VOLANESORSEN SODIUM
CXCL2,NCI,BCG VACCINE
NTRK3,GuideToPharmacology,PEXIDARTINIB
NT5C2,PharmGKB,DIDANOSINE
VEGFA,TTD,
GRIN3B,ChemblInteractions,AMANTADINE HYDROCHLORIDE
RAD52,DTC,CHEMBL596633
HSP90AB1,DTC,RADANAMYCIN
PAK4,DTC,PD-0166285
GRIN2C,TdgClinicalTrial,
SCNN1A,PharmGKB,TRIAMTERENE
GABRA6,TEND,MEPHOBARBITAL
HPGD,DTC,ZARDAVERINE
CYP2C19,FDA,PHENYTOIN
AKT2,ChemblInteractions,IPATASERTIB
MAPT,DTC,CHEMBL528181
SH2D1A,PharmGKB,EMAPALUMAB
PTGDR2,GuideToPharmacology,
EGFR,OncoKB,DACOMITINIB
ITGAV,ChemblInteractions,ABITUZUMAB
HLA-DRB1,PharmGKB,METHIMAZOLE
IL1R1,NCI,
YES1,DTC,GW837331X
PIK3CA,ChemblInteractions,SF-1126
HPGD,DTC,HYPERICIN
HTR1A,GuideToPharmacology,8-OH-DPAT
SERPINA6,TEND,RIMEXOLONE
CHRNA4,TdgClinicalTrial,BUTALBITAL
RRM2,TTD,HYDROXYUREA
PDK1,TTD,
THRB,DTC,CHEMBL297304
S1PR3,TTD,
MAPT,DTC,CHEMBL343002
XDH,TEND,FEBUXOSTAT
CD52,TTD,ALEMTUZUMAB
F9,TEND,MENADIONE
HTR1D,GuideToPharmacology,
BACE1,GuideToPharmacology,
AGTR1,NCI,DEXAMETHASONE
EHMT2,DTC,CHEMBL1509789
MAP2K7,MyCancerGenomeClinicalTrial,COBIMETINIB
CHRM1,TEND,PROPIOMAZINE
ATR,ClearityFoundationBiomarkers,2X-121
ERBB2,GuideToPharmacology,TRASTUZUMAB
KCNA1,ChemblInteractions,NERISPIRDINE
GRIA4,TdgClinicalTrial,PERAMPANEL
EHMT2,DTC,CHEMBL585030
PDGFRA,TTD,CRENOLANIB
BRAF,MyCancerGenomeClinicalTrial,DASATINIB
IFNG,TTD,EMAPALUMAB
,TTD,UMIFENOVIR
GABRA1,TTD,ZOLPIDEM
KCNA10,GuideToPharmacology,
HDAC6,GuideToPharmacology,
TUBA4A,DTC,CHEMBL1795737
ADRA1D,TdgClinicalTrial,PROPIOMAZINE
ESR1,TdgClinicalTrial,NORELGESTROMIN
CDKAL1,PharmGKB,
ACE,GuideToPharmacology,BENAZEPRILAT
KDM4A,DTC,APOMORPHINE HYDROCHLORIDE HEMIHYDRATE
KLK3,NCI,
ABCB1,PharmGKB,RANOLAZINE
TPBG,ChemblInteractions,NAPTUMOMAB ESTAFENATOX
GRIN2C,ChemblInteractions,GW468816
PIK3R6,MyCancerGenomeClinicalTrial,DACTOLISIB
RACGAP1,DTC,CHEMBL581044
CDK2,DTC,CHEMBL379975
HPGD,DTC,ZAPA
RECQL,DTC,CHEMBL505670
CYP2C19,DTC,ENOXOLONE
CHRNA7,GuideToPharmacology,ATRACURIUM
NPC1,DTC,CHEMBL582507
CXCR2,GuideToPharmacology,
PLK1,DTC,CHEMBL555260
ABL1,TdgClinicalTrial,NILOTINIB
RXRA,DTC,DOXORUBICIN HYDROCHLORIDE
HSPB1,CancerCommons,APATORSEN
NFE2L2,DTC,MIFEPRISTONE
GSK3B,GuideToPharmacology,
OPRD1,TdgClinicalTrial,
CYP3A4,DTC,MESO-HEXESTROL
HCAR2,TdgClinicalTrial,
ACE,PharmGKB,TORSEMIDE
DRD3,PharmGKB,RISPERIDONE
CYP2C9,PharmGKB,GLIQUIDONE
CCR3,GuideToPharmacology,
SIRT1,DTC,ALTISSIMACOUMARIN C
APOB,NCI,LOVASTATIN
ADRB1,TdgClinicalTrial,CARTEOLOL
OPRK1,TEND,HYDROMORPHONE
HSD17B10,DTC,CHEMBL242171
GRM2,TTD,
ADRA1A,TEND,AMIODARONE
MCL1,DTC,CHEMBL599255
ADRB2,TTD,
HCRTR2,TTD,
GMNN,DTC,XANTHOANGELOL B
RNASEH2A,NCI,PROGESTERONE
POLK,DTC,RACEPINEPHRINE
,MyCancerGenomeClinicalTrial,
CYSLTR1,GuideToPharmacology,
GABRA3,TEND,HEXOBARBITAL
DYRK1A,TTD,
BRAF,ChemblInteractions,LGX-806
MAP4K2,DTC,DACTOLISIB
AR,GuideToPharmacology,FLUOXYMESTERONE
GABRG2,DTC,CHEMBL2170369
KDM4A,DTC,LOMOFUNGIN
MYLK,DTC,TOZASERTIB
MITF,CIViC,SELUMETINIB
TSPO,TTD,
TMEM97,TTD,
BIRC5,NCI,
ADORA2A,GuideToPharmacology,CHEMBL375293
ESR1,TTD,ICARITIN
SENP8,DTC,CHEMBL1504679
PRKD3,ChemblInteractions,SOTRASTAURIN
ABCB1,PharmGKB,SPIRONOLACTONE
GCK,TTD,
,TTD,CUSTIRSEN
CYP2B6,PharmGKB,MITOTANE
NAAA,GuideToPharmacology,
,TTD,
KRT19,NCI,CHEMBL35482
CACNA1D,TdgClinicalTrial,FELODIPINE
ADRB2,GuideToPharmacology,TIMOLOL
RPE65,TTD,VORETIGENE NEPARVOVEC
TRPV1,TTD,GRC-15300
SMN2,DTC,HYDRALAZINE
AVPR1B,GuideToPharmacology,
CACNA1B,ChemblInteractions,IMAGABALIN
CGA,NCI,VINBLASTINE
ALK,CIViC,BRIGATINIB
GHSR,TdgClinicalTrial,
EHMT2,DTC,ENOXAMAST
MAFB,PharmGKB,
ERBB3,PharmGKB,LAPATINIB
NDUFC2,ChemblInteractions,NV-128
FLT4,DTC,ALSTERPAULLONE
CYP2D6,DTC,PIMETHIXENE
KDM4A,DTC,CHEMBL582722
PTK2B,TTD,
PTEN,JAX-CKB,
IL23A,TdgClinicalTrial,BRIAKINUMAB
CYP1A2,DTC,E324
AR,DTC,MONATEPIL
MAP2K1,GuideToPharmacology,COBIMETINIB
,TTD,ACETAMINOPHEN
PSMD13,MyCancerGenome,CARFILZOMIB
GLA,DTC,EBSELEN
KDR,ChemblInteractions,LENVATINIB MESYLATE
PDE7A,TEND,DYPHYLLINE
GC,PharmGKB,CETUXIMAB
SLC6A4,TEND,DESVENLAFAXINE
HPGD,DTC,MERCURIC CHLORIDE
RET,JAX-CKB,EVEROLIMUS
PTGS2,ChemblInteractions,NAPROXEN ETEMESIL
SIRT1,DTC,RESVERATROL
NF1,CIViC,VEMURAFENIB
OPRD1,ChemblInteractions,NALOXONE HYDROCHLORIDE
HTR2A,TdgClinicalTrial,
PTGS2,PharmGKB,ATENOLOL
ADORA3,GuideToPharmacology,
GPR68,GuideToPharmacology,
GSTP1,PharmGKB,THIOTEPA
BRAF,JAX-CKB,
TUBB,TTD,
MAPT,DTC,DIHYDROERGOCRISTINE
COMT,PharmGKB,METHYLPHENIDATE
POLB,DTC,CHEMBL602127
DDR2,GuideToPharmacology,SORAFENIB
CYP2D6,DTC,AZITHROMYCIN
ITGB2,NCI,ALCOHOL
GABRR2,TdgClinicalTrial,CLORAZEPIC ACID
HTR1A,TTD,OSEMOZOTAN
RELA,DTC,ACACETIN
ALOX15,DTC,CHEMBL151797
CYP1A1,NCI,
EHMT2,DTC,CHEMBL589694
RET,MyCancerGenome,SORAFENIB
MAPK9,GuideToPharmacology,
NT5C2,CIViC,THIOGUANINE
CIC,CIViC,TRAMETINIB
ERBB2,ChemblInteractions,HEMAY-022
PTGER4,GuideToPharmacology,ILOPROST
MITF,DTC,METAPHIT METHANESULFONATE
ATAD5,DTC,"N,N-HEXAMETHYLENEAMILORIDE"
CYP2C9,DTC,QUINIDINE
HTT,DTC,CHEMBL2094833
ABCB1,PharmGKB,PROPRANOLOL
ADRB2,TdgClinicalTrial,TERBUTALINE
CASR,GuideToPharmacology,
IL10,NCI,ROFECOXIB
FLT1,TALC,CEDIRANIB
GPR139,GuideToPharmacology,
ADRB2,DTC,CHEMBL590927
DYRK1A,TTD,
ALDH1A1,DTC,CADMIUM DICHLORIDE
PLK4,DTC,GS 6201
PTGDR,TTD,
,TTD,
PIK3CA,ClearityFoundationBiomarkers,DS-7423
SGK2,DTC,ILORASERTIB
ANXA1,TEND,CLOCORTOLONE
HIPK2,DTC,R-406
PDE3B,GuideToPharmacology,CILOSTAZOL
,TTD,
HTT,DTC,CHEMBL1327172
CYP2J2,PharmGKB,TERFENADINE
LRRK2,DTC,ADAVOSERTIB
GABRA1,TdgClinicalTrial,ADIPIPLON
ALOX12,DTC,ETHOPROPAZINE HYDROCHLORIDE
CYP1B1,NCI,AMINOGLUTETHIMIDE
AR,TdgClinicalTrial,DROSPIRENONE
OXTR,GuideToPharmacology,
MPHOSPH8,DTC,BENSERAZIDE HYDROCHLORIDE
ATAD5,DTC,ANGUIDIN
PDK1,TTD,
PTGS2,ChemblInteractions,MECLOFENAMATE SODIUM
,TTD,CENSAVUDINE
MITF,DTC,CHEMBL597649
ALDH1A1,DTC,CHEMBL324774
FOXO3,DTC,RESVERATROL
SCN11A,ChemblInteractions,INDECAINIDE HYDROCHLORIDE
PIK3C2A,MyCancerGenome,PILARALISIB
TH,NCI,EPOETIN ALFA
CXCR3,GuideToPharmacology,
SLC12A3,ChemblInteractions,TRICHLORMETHIAZIDE
CCR2,NCI,MORPHINE
MST1R,ChemblInteractions,MGCD-265
PDGFRA,GuideToPharmacology,ENMD-2076
,TTD,STAUROSPORINE
RECQL,DTC,VERAPAMIL HYDROCHLORIDE
RACGAP1,DTC,KAEMPFEROL
SCN3A,ChemblInteractions,TETRACAINE HYDROCHLORIDE
NR1H4,DTC,GANODERIOL F
VEGFA,TTD,NAVICIXIZUMAB
CASR,TTD,VELCALCETIDE
AR,DTC,DOMIPHEN BROMIDE
ALDH1A1,DTC,CITRIC ACID
ADA,TdgClinicalTrial,PENTOSTATIN
HTR1A,GuideToPharmacology,
ITGB5,TdgClinicalTrial,INTETUMUMAB
GRM5,TTD,
HSD17B10,DTC,TYRPHOSTIN 23
NAT2,PharmGKB,THALIDOMIDE
PRKCQ,GuideToPharmacology,GSK-690693
SLC6A3,ChemblInteractions,PHENDIMETRAZINE TARTRATE
MET,JAX-CKB,FICLATUZUMAB
EHMT2,DTC,CANAVANINE
NT5E,TTD,
FLT3,JAX-CKB,CHEMBL3397300
FABP5,TTD,
SENP1,DTC,CHEMBL211405
BRD7,GuideToPharmacology,
MAPK1,DTC,CHEMBL2088731
CSF1R,TALC,DASATINIB
AR,DTC,MICHLER'S KETONE
ESR1,DTC,PROPYLPYRAZOLETRIOL
PTEN,PharmGKB,CISPLATIN
DRD2,GuideToPharmacology,ZIPRASIDONE
TUBB8,DTC,NOCODAZOLE
USP2,DTC,QUINALIZARIN
DRD1,TEND,PROCHLORPERAZINE
SLC6A2,TdgClinicalTrial,COCAINE
S1PR3,TTD,
NAT1,ChemblInteractions,DASOTRALINE
KCNJ4,GuideToPharmacology,
GABRG2,ChemblInteractions,SECOBARBITAL SODIUM
CASR,TEND,CINACALCET
ESR1,FDA,TAMOXIFEN
CYP3A4,DTC,PF-03715455
TP53,DTC,CHLORAMBUCIL
CHRM3,GuideToPharmacology,
TNFRSF17,TTD,
PTEN,JAX-CKB,COPANLISIB
NFE2L2,DTC,DEFEROXAMINE MESYLATE
,TTD,
ADH1A,TdgClinicalTrial,FOMEPIZOLE
ALK,DTC,LINIFANIB
,TTD,
ATAD5,DTC,FLUSPIRILENE
ATXN2,DTC,CYCLOVALONE
TP53,DTC,CHEMBL421215
RAMP3,TEND,PRAMLINTIDE
CYP2D6,DTC,CHEMBL123904
IGF1R,TALC,FIGITUMUMAB
HSD17B10,DTC,ERGOCRYPTINE
MST1R,TTD,
NMUR2,GuideToPharmacology,
ATG4B,DTC,DOXYCYCLINE HYCLATE
SSTR1,GuideToPharmacology,
FAS,NCI,PROGESTERONE
DRD2,PharmGKB,AMPHETAMINE
MAP2K1,ClearityFoundationClinicalTrial,TRAMETINIB
SCN10A,TdgClinicalTrial,DYCLONINE
RORC,TTD,
,TTD,
TYMS,NCI,HYDROCORTISONE
BDNF,NCI,VERTEPORFIN
POLK,DTC,SURAMIN HEXASODIUM
FABP5,TTD,
SERPINE1,NCI,DEFIBROTIDE
EGFR,TALC,CHEMBL3397300
CHRM1,TEND,IPRATROPIUM
COL1A2,TTD,
PIK3CG,TTD,PILARALISIB
APEX1,DTC,CEFAMANDOLE SODIUM
CDC25B,DTC,CHEMBL337173
MAPT,DTC,CHEMBL505670
MTOR,GuideToPharmacology,SAPANISERTIB
PGR,FDA,LAPATINIB
GPC3,TTD,
GRIN1,PharmGKB,METHAMPHETAMINE
AGTR1,ChemblInteractions,AZILSARTAN KAMEDOXOMIL
EGFR,ClearityFoundationClinicalTrial,
CTSK,TALC,ODANACATIB
RRM2,PharmGKB,CYTARABINE
CYP26B1,TdgClinicalTrial,TALAROZOLE
MAPK11,GuideToPharmacology,DORAMAPIMOD
EGFR,TdgClinicalTrial,
XIAP,NCI,
,TTD,
CMKLR2,GuideToPharmacology,
TYMS,CIViC,METHOTREXATE
THPO,DTC,TERFENADINE
XDH,TTD,
CA12,PharmGKB,CELECOXIB
GRIA2,TdgClinicalTrial,BUTETHAL
CCNK,PharmGKB,FLUOROURACIL
SCN9A,TdgClinicalTrial,RANOLAZINE
AURKA,CIViC,CISPLATIN
ACHE,TEND,GALANTAMINE
EGFR,FDA,RAMUCIRUMAB
PSEN1,MyCancerGenome,
HTRA1,PharmGKB,BEVACIZUMAB
STK17A,DTC,CHEMBL2005186
PPARG,DTC,AMORFRUTIN A
RECQL,DTC,CHEMBL581225
VIM,NCI,
KDR,PharmGKB,SORAFENIB
TP53,TALC,
VDR,NCI,
FABP5,TTD,
LTK,GuideToPharmacology,
HTR4,GuideToPharmacology,
JAK3,DTC,R-406
G6PD,FDA,
F8,NCI,
CD19,TTD,
,TTD,DESOXIMETASONE
,ClearityFoundationClinicalTrial,
PDK1,TTD,
HMGCR,GuideToPharmacology,
MAPK13,TdgClinicalTrial,SEMAPIMOD
,TTD,
ALPG,DTC,CHEMBL585591
RAF1,ChemblInteractions,SORAFENIB TOSYLATE
CDK19,GuideToPharmacology,PEXIDARTINIB
,TTD,CYCLOSERINE
TDO2,GuideToPharmacology,
,TTD,
FAAH,NCI,ACETAMINOPHEN
HSPA8,NCI,CISPLATIN
SCN5A,TEND,LIDOCAINE
MTOR,DTC,PYRROLIDINE DITHIOCARBAMATE
CSF1R,DTC,GW843682X
CYP2C9,DTC,MINOXIDIL
INSR,ChemblInteractions,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK
TOP1,DTC,INDIMITECAN
HDAC2,TdgClinicalTrial,PRACINOSTAT
C5AR1,GuideToPharmacology,
NFE2L2,DTC,FLUFENAMIC ACID
USP2,DTC,THONZONIUM BROMIDE
TP53,PharmGKB,VENETOCLAX
TRPV1,TTD,
SCN2A,GuideToPharmacology,
ARSA,DTC,CHEMBL1256291
KDM4E,DTC,CARMINE
SFTPB,NCI,STREPTOZOCIN
POLH,DTC,CHEMBL1601846
,TTD,
OPRL1,GuideToPharmacology,
ATAD5,DTC,CHEMBL529918
TP53,DTC,MELPHALAN
KDM4E,DTC,CHEMBL67535
THPO,DTC,WIN-552122
COMT,TTD,OPICAPONE
NPSR1,DTC,CHEMBL577673
MMP2,NCI,REBIMASTAT
ALOX5,TdgClinicalTrial,MESALAMINE
,TTD,ENMD-2076
ABCB1,CIViC,CRIZOTINIB
EXO1,PharmGKB,CAPECITABINE
IDO1,TTD,
SLC33A1,GuideToPharmacology,
APOBEC3G,DTC,CHEMBL1520346
APEX1,DTC,TANNIC ACID
,TTD,VORICONAZOLE
GABRA3,GuideToPharmacology,FLUMAZENIL
ADRB2,DTC,PROPRANOLOL
CASP3,DTC,CHEMBL483849
ABCB1,DTC,HETEROCODEINE
MAP2K5,MyCancerGenomeClinicalTrial,SELUMETINIB
CDK2,GuideToPharmacology,
HDAC7,DTC,VORINOSTAT
HDAC8,GuideToPharmacology,DACINOSTAT
ADRB2,TdgClinicalTrial,TIMOLOL
AR,DTC,AMDINOCILLIN
HDAC3,TTD,
CYP1A2,DTC,MOXISYLYTE
ABCB1,NCI,
OPRK1,GuideToPharmacology,
HTR1B,TTD,ELETRIPTAN
PLK4,DTC,GO-6976
ADRA2B,TdgClinicalTrial,SENREBOTASE
MR1,TdgClinicalTrial,
GCG,NCI,
CYP2D6,DTC,MEPIVACAINE
HLA-C,PharmGKB,FLOXACILLIN
ERBB4,GuideToPharmacology,
CYP3A4,DTC,TRIFLUOPERAZINE
E2F1,NCI,DIETHYLSTILBESTROL
